Host family,Host genus,Species,Conservation Status,Parasite type,Type Parasite Detailled,EEO,Parasite Family,Parasite genus,Parasite species,Host,region,reference,Sample from
Cheirogaleidae,Microcebus,murinus,LC,helminth,nematode,358995,Tristrongylidae,Ascaris,sp.,Microcebus_murinus,Mandena,"raharivololona and ganzhorn, 2008",
Cheirogaleidae,Microcebus,murinus,LC,protozoa,protozoan,358995,Coccidia,Coccidia,sp.,Microcebus_murinus,Mandena,"raharivololona and ganzhorn, 2009",
Cheirogaleidae,Microcebus,murinus,LC,helminth,cestode,358995,Hymenolepididae,Hymenolepis,sp.,Microcebus_murinus,Mandena,"raharivololona and ganzhorn, 2010",
Cheirogaleidae,Microcebus,murinus,LC,helminth,nematode,358995,Subuluridae,Subulura,sp.,Microcebus_murinus,Mandena,"raharivololona and ganzhorn, 2008",
Cheirogaleidae,Microcebus,murinus,LC,helminth,nematode,358995,Strongylidae,Strongyloides,sp.,Microcebus_murinus,Mandena,"raharivololona and ganzhorn, 2008",
Cheirogaleidae,Microcebus,murinus,LC,helminth,nematode,358995,Tristrongylidae,Trichuris,sp.,Microcebus_murinus,Mandena,"raharivololona and ganzhorn, 2008",
Cheirogaleidae,Microcebus,murinus,LC,helminth,nematode,358995,Tristrongylidae,Lemuricola,sp.,Microcebus_murinus,Mandena,"raharivololona and ganzhorn, 2008",
Cheirogaleidae,Microcebus,murinus,LC,helminth,nematode,358995,Tristrongylidae,Oxyur,sp.,Microcebus_murinus,Mandena,"raharivololona and ganzhorn, 2008",
Cheirogaleidae,Microcebus,berthae,CR,helminth,nematode,809,Tristrongylidae,Trichuris,sp.,Microcebus_berthae,Kirindy,"Springer & Kappeler, 2016",
Cheirogaleidae,Microcebus,berthae,CR,helminth,cestode,809,Hymenolepididae,Hymenolepis,sp.,Microcebus_berthae,Kirindy,"Springer & Kappeler, 2016",
Cheirogaleidae,Microcebus,berthae,CR,protozoa,protozoan,809,Opisthorchiida,Opisthorchis,sp.,Microcebus_berthae,Kirindy,"Springer & Kappeler, 2016",
Cheirogaleidae,Microcebus,berthae,CR,helminth,nematode,809,Tristrongylidae,Ascaris,sp.,Microcebus_berthae,Kirindy,"Springer & Kappeler, 2016",
Cheirogaleidae,Microcebus,murinus,LC,protozoa,protozoan,358995,coccidia,coccidia,sp.,Microcebus_murinus,Kirindy,"Springer & Kappeler, 2016",
Cheirogaleidae,Microcebus,murinus,LC,helminth,nematode,358995,Subuluridae,Subulura,sp.,Microcebus_murinus,Kirindy,"Springer & Kappeler, 2016",
Cheirogaleidae,Microcebus,murinus,LC,helminth,nematode,358995,Hymenolepididae,Hymenolepis,sp.,Microcebus_murinus,Kirindy,"Springer & Kappeler, 2016",
Cheirogaleidae,Microcebus,murinus,LC,helminth,nematode,358995,Heterophyidae,Metagonimus,sp.,Microcebus_murinus,Kirindy,"Springer & Kappeler, 2016",
Cheirogaleidae,Microcebus,murinus,LC,helminth,nematode,358995,Trichuridae,Trichuris,sp.,Microcebus_murinus,Kirindy,"Springer & Kappeler, 2016",
Cheirogaleidae,Microcebus,murinus,LC,helminth,nematode,358995,Ascarididae,Ascaris,sp.,Microcebus_murinus,Kirindy,"Springer & Kappeler, 2016",
Cheirogaleidae,Microcebus,murinus,LC,helminth,nematode,358995,Strongylidae,Strongyloides,sp.,Microcebus_murinus,Kirindy,"Springer & Kappeler, 2016",
Cheirogaleidae,Microcebus,murinus,LC,helminth,nematode,358995,Oxyuridae,Oxyur,sp.,Microcebus_murinus,Kirindy,"Springer & Kappeler, 2016",
Cheirogaleidae,Microcebus,murinus,LC,helminth,nematode,358995,Oxyuridae,Lemuricola,sp.,Microcebus_murinus,Kirindy,"Springer & Kappeler, 2016",
Cheirogaleidae,Microcebus,murinus,LC,helminth,trematode,358995,Subuluridae,Subulura,,Microcebus_murinus,kirindy,Martha mosna thesis,
Cheirogaleidae,Microcebus,murinus,LC,helminth,nematode,358995,Chabertiidae,Oesophagostomum,sp.,Microcebus_murinus,Kirindy,"Springer & Kappeler, 2016",
Cheirogaleidae,Microcebus,murinus,LC,helminth,nematode,358995,Subuluridae,Subulura,baeri,Microcebus_murinus,Ampijoroa,"Chabau et al., 1965",
Cheirogaleidae,Microcebus,murinus,LC,helminth,nematode,358995,Subuluridae,Subulura,baeri,Microcebus_murinus,Mananara,"Chabau et al., 1965",
Cheirogaleidae,Microcebus,murinus,LC,helminth,nematode,358995,Oxyuridae,Lemuricola,microcebi,Microcebus_murinus,,"Hugo et al., 1995",
Cheirogaleidae,Cheirogaleus,medius,VU,helminth,cestode,49306,Hymenolepididae,Hymenolepis,,Cheirogaleus_medius,,,
Cheirogaleidae,Cheirogaleus,medius,VU,helminth,trematode,49306,Heterophyidae,Metagonimus,,Cheirogaleus_medius,,,
Cheirogaleidae,Cheirogaleus,medius,VU,protozoa,protozoan,49306,coccidia,coccidia,,Cheirogaleus_medius,,,
Cheirogaleidae,Cheirogaleus,medius,VU,helminth,nematode,49307,Subuluridae,Subulura,sp.,Cheirogaleus_medius,Kirindy,"Springer & Kappeler, 2016",
Cheirogaleidae,Cheirogaleus,medius,VU,helminth,nematode,49307,Trichuridae,Trichuris,sp.,Cheirogaleus_medius,Kirindy,"Springer & Kappeler, 2016",
Cheirogaleidae,Cheirogaleus,medius,VU,helminth,nematode,49307,Ascarididae,Ascaris,sp.,Cheirogaleus_medius,Kirindy,"Springer & Kappeler, 2016",
Cheirogaleidae,Cheirogaleus,medius,VU,helminth,nematode,49307,Strongylidae,Strongyloides,sp.,Cheirogaleus_medius,Kirindy,"Springer & Kappeler, 2016",
Cheirogaleidae,Cheirogaleus,medius,VU,helminth,nematode,49307,Oxyuridae,Oxyur,sp.,Cheirogaleus_medius,Kirindy,"Springer & Kappeler, 2016",
Cheirogaleidae,Cheirogaleus,major,VU,helminth,nematode,90900,Oxyuridae,Lemuricola,contagiosus,Cheirogaleus_major,,"Chabaud and petter, 1959",
Cheirogaleidae,Cheirogaleus,major,VU,helminth,cestode,90900,Hymenolepididae,Hymenolepis,,Cheirogaleus_major,,,
Cheirogaleidae,Mirza,coquereli,EN,helminth,nematode,85975,Trichuridae,Trichuris,sp.,Mirza_coquereli,Kirindy,"Springer & Kappeler, 2016",
Cheirogaleidae,Mirza,coquereli,EN,helminth,nematode,85975,Ascarididae,Ascaris,sp.,Mirza_coquereli,Kirindy,"Springer & Kappeler, 2016",
Cheirogaleidae,Mirza,coquereli,EN,helminth,nematode,85975,Subuluridae,Subulura,sp.,Mirza_coquereli,Kirindy,"Springer & Kappeler, 2016",
Cheirogaleidae,Microcebus,rufus,VU,helminth,nematode,5191,Strongylidae,Strongyloides,sp.,Microcebus_rufus,ranomafana,"Rafalinirina et al., 2015",
Cheirogaleidae,Microcebus,rufus,VU,helminth,cestode,5192,Hymenolepididae,Hymenolepis,,Microcebus_rufus,,,
Cheirogaleidae,Microcebus,murinus,LC,helminth,nematode,358995,Oxyuridae,Lemuricola,,Microcebus_murinus,,,
Cheirogaleidae,Microcebus,murinus,LC,helminth,cestode,358995,Hymenolepididae,Hymenolepis,,Microcebus_murinus,Ankarafantsika,"Kien et al., 2020",
Cheirogaleidae,Microcebus,murinus,LC,helminth,nematode,358995,Entamoebidae,Enterobius,,Microcebus_murinus,Ankarafantsika,"Kien et al., 2020",
Cheirogaleidae,Microcebus,murinus,LC,helminth,nematode,358995,Strongylidae,Strongyloides,sp.,Microcebus_murinus,Ankarafantsika,"Kien et al., 2020",
Cheirogaleidae,Microcebus,murinus,LC,helminth,nematode,358995,Ascarididae,Ascaris,sp.,Microcebus_murinus,Ankarafantsika,"Kien et al., 2020",
Cheirogaleidae,Microcebus,murinus,LC,helminth,nematode,358995,Strongylidae,Strongyloides,sp.,Microcebus_murinus,Ankarafantsika,"Kien et al., 2020",
Cheirogaleidae,Microcebus,murinus,LC,helminth,nematode,358995,Subuluridae,Subulura,sp.,Microcebus_murinus,Ankarafantsika,"Kien et al., 2020",
Cheirogaleidae,Microcebus,murinus,LC,helminth,nematode,358995,Spiruroidae,Spirura,sp.,Microcebus_murinus,Ankarafantsika,"Kien et al., 2020",
Cheirogaleidae,Microcebus,ravelobensis,VU,protozoa,protozoan,9486,Entamoebidae,Enterobius,,Microcebus_ravelobensis,,,
Cheirogaleidae,Microcebus,ravelobensis,VU,helminth,cestode,9486,Hymenolepididae,Hymenolepis,,Microcebus_ravelobensis,Ankarafantsika,"Kien et al., 2020",
Cheirogaleidae,Microcebus,ravelobensis,VU,helminth,nematode,9486,Oxyuridae,Lemuricola,sp.,Microcebus_ravelobensis,Ankarafantsika,"Kien et al., 2020",
Cheirogaleidae,Microcebus,ravelobensis,VU,helminth,nematode,9486,Strongylidae,Strongyloides,sp.,Microcebus_ravelobensis,Ankarafantsika,"Kien et al., 2020",
